S. No. (Col.1),Crime Head (Col. 2),Cases Pending Investigation from Previous Year (Col. 3),Cases Reported during the Year Col. (4),Cases Reopened for Investigation Col. (5),Total Cases for Investigation (Col.3+ Col.4+Col.5) - Col. (6),Cases Not Investigated Under 157_1_b CRPC - Col. (7),Cases Transferred to Other State or Agency - Col. (8),Cases Withdrawn by the Govt during Investigation - Col. (9),Final Report - Cases Ended as FR Non Cognizable - Col. (10),Final Report - Cases Ended as Final Report False - Col. (11),Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute - Col. (12),Final Report - Cases True but Insufficient Evidence or Untraced or No Clue - Col. (13),Final Report - Cases Abated during Investigation - Col. (14),Final Report - Total (Col.10+Col.11+Col.12+Col13+Col.14) - Col. (15),Charge Sheets Submitted - Cases ChargeSheeted Out of cases From Prev. Year - Col. (16),Charge Sheets Submitted - Cases Charge sheeted Out of Cases during the year - Col. (17),Charge Sheets Submitted - Cases Charge sheeted (Col.16+Col.17) - Col. (18),Total Cases Disposed Off by Police (Col.7+8+15+18) - Col. (19),Cases Quashed at Investigation Stage - Col. (20),Cases Stayed at Investigation Stage - Col. (21),Cases Pending Invsgn.at end of the year (Col.6-9-19-20) - Col. (22),Chargesheeting Rate (Col.18/19*100) - Col. (23),Pendency Percentage (Col.22/6*100) - Col. (24)
18,Counterfeiting,-0.423896989,-0.443700421,-0.36242922,-0.435047529,0,-0.447457244,-0.334777854,-0.401128588,-0.44375224,-0.427818631,-0.42037156,-0.338071409,-0.4266998,-0.394453464,-0.436722348,-0.418589529,-0.425319538,-0.41964541,-0.413096192,-0.438096993,2.398797701,2.563888479
18.1,Currency,-0.423896989,-0.443700421,-0.36242922,-0.435047529,0,-0.447457244,-0.334777854,-0.401128588,-0.44375224,-0.427818631,-0.42037156,-0.338071409,-0.4266998,-0.394453464,-0.436722348,-0.418589529,-0.425319538,-0.41964541,-0.413096192,-0.438096993,2.398797701,2.563888479
18.2,Stamps,-0.425360444,-0.443914515,-0.406170678,-0.43605354,0,-0.447457244,-0.334777854,-0.401128588,-0.44375224,-0.427818631,-0.42037156,-0.338071409,-0.4266998,-0.394955039,-0.436722348,-0.418871974,-0.42541629,-0.41964541,-0.413096192,-0.439834315,-0.251934225,-0.046881122
19,Cyber Blackmailing/Threatening,-0.384017861,-0.370159241,0.074985356,-0.380722936,0,-0.415071121,-0.334777854,-0.401128588,-0.333967382,0.140961482,-0.403382271,-0.306991674,-0.360637689,-0.365863649,-0.323710638,-0.35165002,-0.358850649,-0.41964541,-0.413096192,-0.394269082,-0.359481821,-1.221916355
20,Fake News on Social Media,-0.382115371,-0.42475313,-0.406170678,-0.402374042,0,-0.350298876,-0.334777854,-0.401128588,-0.411462576,-0.419121688,-0.402238761,-0.338071409,-0.40889687,-0.350816377,-0.399051778,-0.377070087,-0.399099641,-0.191171798,-0.413096192,-0.400586619,0.475593631,0.206261516
21,Other Offences,-0.202256844,-0.181007471,0.556141389,-0.194304727,0,0.135492962,-0.334777854,0.549934354,-0.011070742,-0.215613207,-0.302753403,-0.182672731,-0.291780077,-0.185296395,0.05299506,-0.080502642,-0.219043452,0.494249038,0.261627589,-0.1721287,0.551509581,-0.035546377
Total Offences under IPC,Total Offences under IPC,1.585498865,2.273362521,3.79300925,1.880439828,0,1.949115822,-0.334777854,1.183976316,1.85527184,3.195328085,1.363993896,0.128124624,1.542215933,0.621237335,1.517752384,1.032613834,1.373694319,3.007458768,1.61107515,2.272836955,-0.654710516,0.236487503
22,Gambling Act (Online Gambling),-0.421848153,-0.44102425,-0.406170678,-0.432773069,0,-0.447457244,-0.334777854,-0.401128588,-0.44375224,-0.427818631,-0.41922805,-0.338071409,-0.425669878,-0.389437707,-0.427304705,-0.4115284,-0.422223461,-0.41964541,-0.413096192,-0.436517609,1.504676511,-0.436040701
23,Lotteries Act (Online Lotteries),-0.422799399,-0.443486328,-0.406170678,-0.434347695,0,-0.447457244,-0.334777854,-0.401128588,-0.44375224,-0.427818631,-0.419718126,-0.338071409,-0.426111273,-0.392447161,-0.436722348,-0.417459748,-0.424545519,-0.41964541,-0.413096192,-0.437465239,0.526204264,1.143267104
24,Copy Right Act,-0.414604055,-0.440489016,-0.406170678,-0.42822415,0,-0.415071121,-0.334777854,-0.401128588,-0.405004643,-0.424339854,-0.417104389,-0.338071409,-0.422580113,-0.391444009,-0.423537648,-0.410963509,-0.419901404,-0.41964541,-0.413096192,-0.430200072,0.252063333,0.485851893
25,Trade Marks Act,-0.424409198,-0.443807468,-0.406170678,-0.435441185,0,-0.447457244,-0.334777854,-0.401128588,-0.44375224,-0.427818631,-0.420208202,-0.338071409,-0.426552668,-0.394955039,-0.436722348,-0.418871974,-0.425319538,-0.41964541,-0.413096192,-0.438807716,-1.818755084,2.352306572
26,Other SLL Crimes,-0.419579799,-0.433316878,-0.406170678,-0.42826789,0,-0.155982141,-0.334777854,-0.401128588,-0.44375224,-0.426079242,-0.417267748,-0.338071409,-0.423757167,-0.392948737,-0.42165412,-0.410963509,-0.419901404,-0.41964541,-0.413096192,-0.430279041,0.252063333,0.4707389
Total Offences under SLL,Total Offences under SLL,-0.40179883,-0.42646588,-0.406170678,-0.41483983,0,-0.123596019,-0.334777854,-0.401128588,-0.405004643,-0.422600465,-0.412040274,-0.338071409,-0.417871901,-0.381412495,-0.399051778,-0.394299243,-0.410226165,-0.41964541,-0.413096192,-0.413932415,0.517769159,0.440512913
Total Cyber Crimes,Total Cyber Crimes,5.006176823,5.22678489,5.148994435,5.13331072,0,5.317272562,3.766250862,4.988228084,5.336097623,5.232152284,4.840263868,3.888772626,4.944341064,4.539546727,5.154845901,4.875280584,4.937278182,5.292194887,4.984694055,5.235524739,-0.393222243,-0.405814714
