S. No. (Col.1),Crime Head (Col. 2),Cases Pending Investigation from Previous Year (Col. 3),Cases Reported during the Year (Col. 4),Cases Reopened for Investigation (Col. 5),Total Cases for Investigation (Col.3+Col.4+Col.5) - (Col. 6),Cases Not Investigated Under 157_1_b CRPC - (Col. 7),Cases Transferred to Other State or Agency - (Col. 8),Cases Withdrawn by the Govt during Investigation - (Col. 9),Final Report - Cases Ended as FR Non Cognizable - (Col. 10),Final Report - Cases Ended as Final Report False - (Col. 11),Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute - (Col. 12),Final Report - Cases True but Insufficient Evidence or Untraced or No Clue - (Col. 13),Final Report - Cases Abated during Investigation - (Col. 14),Final Report - Total (Col.10+Col.11+Col.12+Col13+Col.14) - (Col. 15),Charge Sheets Submitted - Cases ChargeSheeted Out of cases frm prv. Year - (Col. 16),Charge Sheets Submitted - Cases Chargesheeted Out of Cases during the year - (Col. 17),Charge Sheets Submitted - Cases Chargesheeted (Col.16+Col.17) - (Col. 18),Total Cases Disposed Off by Police (Col.7+8+15+18) - (Col. 19),Cases Quashed at  Investigation Stage - (Col. 20),Cases Stayed at Investigation Stage - (Col. 21),Cases Pending Invsgn.at end of the year (Cols. 6-9-19-20) - (Col. 22),Chargesheeting Rate (Col.18/ 19*100) - (Col. 23),Pendency Percentage (Col.22/6*100) - (Col. 24)
18.1,Currency,-0.415423956,-0.440341032,-0.301916556,-0.429795494,-0.346614112,-0.382014958,-0.339441429,-0.418163556,-0.445547967,-0.440382555,-0.441269548,-0.36348753,-0.442227992,-0.444197789,-0.426936411,-0.436584207,-0.441464906,-0.412143347,-0.414741098,-0.423827732,1.860849115,1.83310525
18.2,Stamps,-0.416725047,-0.441347936,-0.301916556,-0.430955434,-0.346614112,-0.382014958,-0.339441429,-0.418163556,-0.445547967,-0.440382555,-0.441269548,-0.36348753,-0.442227992,-0.444197789,-0.428108262,-0.437369805,-0.441838495,-0.412143347,-0.414741098,-0.42529265,-0.077495663,0.168117266
19,Cyber Blackmailing/Threatening,-0.370786515,-0.407448852,-0.301916556,-0.390779324,-0.346614112,-0.382014958,-0.339441429,-0.356631982,-0.329325995,-0.400123702,-0.419950723,-0.36348753,-0.415493531,-0.390822066,-0.38416385,-0.389841111,-0.4052267,-0.08107738,-0.414741098,-0.383908712,0.071967067,0.438003099
20,Fake News on Social Media ,-0.390703221,-0.376682358,-0.301916556,-0.386772258,-0.346614112,-0.382014958,-0.339441429,0.012557464,-0.418727512,-0.364338055,-0.410521243,-0.36348753,-0.405869125,-0.426792662,-0.351937947,-0.380413932,-0.395700162,-0.412143347,0.366886356,-0.382004318,-0.068154242,0.139052638
21,Other Offences,-0.194138348,-0.142185729,-0.301916556,-0.172710572,-0.346614112,-0.144316762,-0.339441429,1.489315249,0.171322498,-0.176463408,-0.208402387,-0.323995537,-0.182725493,-0.050841916,0.031257332,0.003743616,-0.095334004,0.581054554,0.366886356,-0.202625089,0.015918543,-0.558498438
Total Offences under IPC,Total Offences under IPC,1.403001287,1.818702829,-0.301916556,1.592771093,-0.203890654,0.152805983,-0.339441429,2.719946736,1.682208132,2.046719919,1.678313588,0.939748248,1.713638924,2.066781886,1.173226137,1.486167528,1.604686144,1.574252455,1.930141262,1.583183401,-0.722053685,0.213790253
22,Gambling Act (Online Gambling),-0.414022781,-0.434299611,-0.301916556,-0.426210224,-0.346614112,-0.382014958,-0.339441429,-0.418163556,-0.382966905,-0.435909349,-0.440039616,-0.36348753,-0.438306938,-0.43839608,-0.412874199,-0.425193032,-0.433993111,-0.412143347,-0.414741098,-0.421776846,0.637123014,-1.289266231
23,Lotteries Act (Online Lotteries),-0.4145232,-0.438439103,-0.301916556,-0.428424655,-0.346614112,-0.382014958,-0.339441429,-0.418163556,-0.445547967,-0.440382555,-0.440859571,-0.36348753,-0.441871532,-0.439556422,-0.423420858,-0.432656216,-0.439410162,-0.412143347,-0.414741098,-0.422729043,1.501204421,0.338352945
24,Copy Right Act,-0.403914302,-0.435865906,-0.301916556,-0.421623188,-0.346614112,-0.382014958,-0.339441429,-0.418163556,-0.436607816,-0.440382555,-0.439219661,-0.36348753,-0.440089235,-0.429113345,-0.421663082,-0.427942626,-0.436234649,-0.412143347,-0.414741098,-0.414525502,0.926707053,1.185379251
25,Trade Marks Act,-0.415624124,-0.440788545,-0.301916556,-0.430111841,-0.346614112,-0.382014958,-0.339441429,-0.418163556,-0.445547967,-0.440382555,-0.440859571,-0.36348753,-0.441871532,-0.444197789,-0.426936411,-0.436584207,-0.441278111,-0.412143347,-0.414741098,-0.424340453,0.305502582,1.035904021
26,Other SLL Crimes,-0.411320514,-0.435977784,-0.301916556,-0.42557753,-0.346614112,-0.382014958,-0.339441429,-0.418163556,-0.445547967,-0.440382555,-0.438809684,-0.36348753,-0.440089235,-0.439556422,-0.421077156,-0.431085019,-0.437729008,-0.08107738,-0.414741098,-0.419506223,0.585745201,0.720345201
Total Offences under SLL,Total Offences under SLL,-0.392504732,-0.419979207,-0.301916556,-0.408125702,-0.346614112,-0.382014958,-0.339441429,-0.418163556,-0.374026754,-0.435909349,-0.43470991,-0.36348753,-0.433316505,-0.414028902,-0.393538658,-0.40398188,-0.421291059,-0.08107738,-0.414741098,-0.401707468,0.800597875,0.462915637
Total Cyber Crimes,Total Cyber Crimes,4.903437352,5.156475934,3.39192075,5.051765408,3.078748879,4.371948963,3.818716075,4.996614986,5.258268802,5.285320983,5.045867918,4.612503623,5.088597252,5.271645963,4.99170264,5.130950645,5.128384646,5.215978093,5.056651076,5.005305481,-0.591273797,0.205486074
